CNPJ,Time
40802124000105,Time 2
55938045000101,Time 2
44002502000127,Time 2
48313744000192,Time 2
23956961000170,Time 2
26690689000117,Time 2
9363400000136,Time 2
10841829000170,Time 2
56030860000122,Time 2
47425776000117,Time 2
51497417000142,Time 2
35982683000104,Time 2
47758232000177,Time 2
41520452000181,Time 2
38168015000136,Time 2
50835592000130,Time 2
54565372000194,Time 2
41957418000179,Time 2
41195699000170,Time 2
32525986000100,Time 2
49004860000192,Time 2
53273245000159,Time 2
39663988000104,Time 2
41251371000123,Time 2
41251337000159,Time 2
29469420000101,Time 2
42154687000160,Time 2
63654286000149,Time 2
63939263000180,Time 2
55636084000146,Time 2
40009750000149,Time 2
52322327000183,Time 2
57354123000148,Time 2
42196288000161,Time 2
11629795000118,Time 2
47715992000105,Time 2
61385893000125,Time 2
14051028000162,Time 2
42888478000140,Time 2
9260031000156,Time 2
26360089000190,Time 2
34521809000180,Time 2
57533260000140,Time 2
52804600000106,Time 2
45025014000106,Time 2
41673339000136,Time 2
51660048000167,Time 2
65216273000113,Time 2
37035970000132,Time 2
47425750000179,Time 2
52099923000146,Time 2
51862553000194,Time 2
54443741000176,Time 2
57088975000130,Time 2
43551206000112,Time 2
51364521000169,Time 2
61289877000139,Time 2
43551156000173,Time 2
55835986000101,Time 2
51476020000174,Time 2
63728079000191,Time 2
64611146000156,Time 2
55914922000104,Time 2
55257461000136,Time 2
41351629000163,Time 2
8678936000188,Time 2
64115182000129,Time 2
55657825000175,Time 2
30659203000155,Time 2
26207801000116,Time 2
33499715000190,Time 2
28194790000102,Time 2
35580989000134,Time 2
26756137000164,Time 2
10338491000139,Time 2
31894563000102,Time 2
18677046000105,Time 2
42533772000139,Time 2
30733545000178,Time 2
21081879000113,Time 2
56023806000150,Time 2
23273905000130,Time 2
28194817000167,Time 2
56975898000178,Time 2
27326119000105,Time 2
19388423000159,Time 2
40989019000127,Time 2
29957532000101,Time 2
28671081000170,Time 2
31772126000108,Time 2
18628935000182,Time 2
46610394000109,Time 2
22945783000119,Time 2
61575850000102,Time 2
20861236000120,Time 2
12910431000174,Time 2
26704167000127,Time 2
63829575000131,Time 2
28079873000150,Time 2
23980344000100,Time 2
34082112000150,Time 2
17334155000167,Time 2
45756256000161,Time 2
21595851000102,Time 2
36232996000108,Time 2
31844721000101,Time 2
29152737000101,Time 2
27944815000185,Time 2
17498285000135,Time 2
26000088000135,Time 2
12813212000177,Time 2
44571204000158,Time 2
51137980000100,Time 2
62690556000104,Time 2
19932422000123,Time 2
18675887000183,Time 2
21081976000106,Time 2
26199799000180,Time 2
17468142000180,Time 2
36293650000110,Time 2
20820448000169,Time 2
22282851000107,Time 2
46390338000106,Time 2
28671036000116,Time 2
46231870000172,Time 2
62838423000132,Time 2
53560257000164,Time 2
54023881000195,Time 2
20717010000150,Time 2
46231905000173,Time 2
55635126000124,Time 2
40226165000109,Time 2
47463370000129,Time 2
20820603000147,Time 2
21397791000105,Time 2
26803172000197,Time 2
21397837000196,Time 2
53823009000169,Time 2
9163026000125,Time 2
29226623000169,Time 2
41609997000169,Time 2
41195764000167,Time 2
32273345000105,Time 2
53507204000180,Time 2
65789211000109,Time 2
46082526000169,Time 2
7094389000120,Time 2
63974821000149,Time 2
62161418000138,Time 2
55483719000112,Time 2
62393829000159,Time 2
53121758000144,Time 2
61351481000174,Time 2
63322011000108,Time 2
28152799000150,Time 2
50651482000118,Time 2
55900108000122,Time 2
57736320000121,Time 2
42888490000154,Time 2
61922025000137,Time 2
62627243000101,Time 2
51695805000138,Time 2
64123696000126,Time 2
64289387000120,Time 2
65675575000150,Time 2
56916550000100,Time 2
63565588000140,Time 2
13633964000119,Time 2
39806180000139,Time 2
13767420000140,Time 2
19599487000107,Time 2
45778027000148,Time 2
29242916000130,Time 2
63679105000139,Time 2
53841740000117,Time 2
55411764000161,Time 2
63381126000173,Time 2
42866957000165,Time 2
49000918000120,Time 2
55406636000120,Time 2
54707255000118,Time 2
63034209000196,Time 2
58546382000133,Time 2
20813604000164,Time 2
58398535000142,Time 2
53018439000108,Time 2
57213448000100,Time 2
57074997000141,Time 2
46285232000134,Time 2
15078010000117,Time 2
34582493000137,Time 2
42605189000196,Time 2
5117292000160,Time 2
